source,target,relation,relation_zh,evidence,source_doc,source_url,count,weight,color
raw_cause:6楼厅门撞坏，厅门重锤钢丝绳卡断，需更换，停梯,category:door_system_fault,CATEGORIZED_AS,归类为,6楼厅门撞坏，厅门重锤钢丝绳卡断，需更换，停梯,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:7层厅门地坎装修垃圾卡住导致死机。装修垃圾已清理,category:human_obstruction,CATEGORIZED_AS,归类为,7层厅门地坎装修垃圾卡住导致死机。装修垃圾已清理,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:7楼厅门吊高过底卡死.已调整,category:door_system_fault,CATEGORIZED_AS,归类为,7楼厅门吊高过底卡死.已调整,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:7楼厅门滚轮上有异物（水泥块）卡住引起门锁不能正常闭合,category:human_obstruction,CATEGORIZED_AS,归类为,7楼厅门滚轮上有异物（水泥块）卡住引起门锁不能正常闭合,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:7楼轿门被撞，脱离地坎已修复,category:human_obstruction,CATEGORIZED_AS,归类为,7楼轿门被撞，脱离地坎已修复,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:8楼厅门外地毯卡住 运行未发现有异响,category:human_obstruction,CATEGORIZED_AS,归类为,8楼厅门外地毯卡住 运行未发现有异响,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:8楼厅门门锁压量小.接触不好.已调整,category:door_system_fault,CATEGORIZED_AS,归类为,8楼厅门门锁压量小.接触不好.已调整,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:9-1单元厅门被撞已经好了,category:door_system_fault,CATEGORIZED_AS,归类为,9-1单元厅门被撞已经好了,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:AvR不好，需更换或维修，停梯,category:unknown,CATEGORIZED_AS,归类为,AvR不好，需更换或维修，停梯,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:B楼厅门地坎有异物卡住，引起不开门死扰,category:human_obstruction,CATEGORIZED_AS,归类为,B楼厅门地坎有异物卡住，引起不开门死扰,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:CLS不良 已调整,category:unknown,CATEGORIZED_AS,归类为,CLS不良 已调整,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:M楼厅门锁打板卡主调整不良,category:door_system_fault,CATEGORIZED_AS,归类为,M楼厅门锁打板卡主调整不良,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
raw_cause:上行按钮卡了,category:unknown,CATEGORIZED_AS,归类为,上行按钮卡了,local:fau_rep.xls,,1,0.0012106537530266344,#dc2626
