id,label,name,name_en,kind,kind_zh,description,source,source_url,count,weight,trapped_people,rescue_minutes,color,size
elevator:30303202812005111701,elevator:30303202812005111701,电梯 30303202812005111701,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31003201002009030062,elevator:31003201002009030062,电梯 31003201002009030062,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31003201112016090028,elevator:31003201112016090028,电梯 31003201112016090028,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31003201152016080124,elevator:31003201152016080124,电梯 31003201152016080124,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:311010082201821757,elevator:311010082201821757,电梯 311010082201821757,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201032013120012,elevator:31103201032013120012,电梯 31103201032013120012,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201042017100044,elevator:31103201042017100044,电梯 31103201042017100044,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201052012110008,elevator:31103201052012110008,电梯 31103201052012110008,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201062012070011,elevator:31103201062012070011,电梯 31103201062012070011,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201062014090007,elevator:31103201062014090007,电梯 31103201062014090007,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:3110320107200709E722,elevator:3110320107200709E722,电梯 3110320107200709E722,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:3110320111200812J355,elevator:3110320111200812J355,电梯 3110320111200812J355,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201132013100032,elevator:31103201132013100032,电梯 31103201132013100032,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201152009050004,elevator:31103201152009050004,电梯 31103201152009050004,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201152013010005,elevator:31103201152013010005,电梯 31103201152013010005,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201152013010032,elevator:31103201152013010032,电梯 31103201152013010032,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201152013010035,elevator:31103201152013010035,电梯 31103201152013010035,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201152014050035,elevator:31103201152014050035,电梯 31103201152014050035,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201152015080058,elevator:31103201152015080058,电梯 31103201152015080058,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:3110320116200802G324,elevator:3110320116200802G324,电梯 3110320116200802G324,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103201162011120038,elevator:31103201162011120038,电梯 31103201162011120038,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:311032011720181443,elevator:311032011720181443,电梯 311032011720181443,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202022012120020,elevator:31103202022012120020,电梯 31103202022012120020,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202022014060010,elevator:31103202022014060010,电梯 31103202022014060010,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
elevator:31103202032009030189,elevator:31103202032009030189,电梯 31103202032009030189,,elevator,电梯,,local:xlsx,,,,,,#0f766e,8
